,x,y,z,mae
308,ETH-GBP,SOL-BTC,3,0.42023267782698687
309,ETH-GBP,SOL-BTC,4,0.4079287889165068
310,ETH-GBP,SOL-BTC,5,0.3946991746087582
311,ETH-GBP,SOL-BTC,6,0.3752354179628793
312,ETH-GBP,SOL-ETH,1,0.8739820779228039
313,ETH-GBP,SOL-ETH,2,0.8773492879102068
314,ETH-GBP,SOL-ETH,3,0.43610729338009824
315,ETH-GBP,SOL-ETH,4,0.42011641684477175
316,ETH-GBP,SOL-ETH,5,0.41310419334585136
317,ETH-GBP,SOL-ETH,6,0.39559802543528033
318,ETH-GBP,SOL-GBP,1,0.8014850181514421
319,ETH-GBP,SOL-GBP,2,0.7608609369273028
320,ETH-GBP,SOL-GBP,3,0.2631484029284923
321,ETH-GBP,SOL-GBP,4,0.2621951004084303
322,ETH-GBP,SOL-GBP,5,0.25177923766120647
323,ETH-GBP,SOL-GBP,6,0.22521380864867366
324,ETH-GBP,0,1,2.487427455734083
325,ETH-GBP,0,2,2.438869289092193
326,ETH-GBP,0,3,0.8271146271596683
327,ETH-GBP,0,4,0.7111623418446823
328,ETH-GBP,0,5,0.7109296664584879
329,ETH-GBP,0,6,0.6672881650803064
330,ETH-GBP,1,1,1.289312761673602
331,ETH-GBP,1,2,1.289082559652483
332,ETH-GBP,1,3,1.2203797753515915
333,ETH-GBP,1,4,1.2201695745233416
334,ETH-GBP,1,5,1.225433435004808
335,ETH-GBP,1,6,1.2254197601418897
336,ETH-GBP,2,1,0.8656708129135496
337,ETH-GBP,2,2,0.4268799882605742
338,ETH-GBP,2,3,0.42554050799408116
339,ETH-GBP,2,4,0.42091790848736066
340,ETH-GBP,2,5,0.42043991112818385
341,ETH-GBP,2,6,0.3955490382290776
342,ETH-GBP,3,1,0.5524549432468078
343,ETH-GBP,3,2,0.5484931688352713
344,ETH-GBP,3,3,0.5468885912750314
345,ETH-GBP,3,4,0.5428783994231531
346,ETH-GBP,3,5,0.5439181442633874
347,ETH-GBP,3,6,0.5458651696749302
348,REP-BTC,REP-ETH,1,0.8030397122573444
349,REP-BTC,REP-ETH,2,0.6156938468387706
350,REP-BTC,REP-ETH,3,0.3727491866451605
351,REP-BTC,REP-ETH,4,0.30644865210716093
352,REP-BTC,REP-ETH,5,0.30186286736164447
353,REP-BTC,REP-ETH,6,0.3138301898455583
354,REP-BTC,REP-GBP,1,0.7675255657092341
355,REP-BTC,REP-GBP,2,0.7557066073387647
356,REP-BTC,REP-GBP,3,0.5766482997513934
357,REP-BTC,REP-GBP,4,0.57715187602848
358,REP-BTC,REP-GBP,5,0.5599491735769176
359,REP-BTC,REP-GBP,6,0.552938776602309
360,REP-BTC,XLM-BTC,1,0.7885608502732099
361,REP-BTC,XLM-BTC,2,0.7956982016567472
362,REP-BTC,XLM-BTC,3,0.5021402777637206
363,REP-BTC,XLM-BTC,4,0.4713606089468981
364,REP-BTC,XLM-BTC,5,0.4590741723870006
365,REP-BTC,XLM-BTC,6,0.45019831767815655
366,REP-BTC,XLM-ETH,1,0.8885027943917576
367,REP-BTC,XLM-ETH,2,0.8268442519249491
368,REP-BTC,XLM-ETH,3,0.5272009334712803
369,REP-BTC,XLM-ETH,4,0.43976847629212434
370,REP-BTC,XLM-ETH,5,0.43976161998102736
371,REP-BTC,XLM-ETH,6,0.4202321047901476
372,REP-BTC,XLM-GBP,1,0.8315536250137958
373,REP-BTC,XLM-GBP,2,0.6231981397792982
374,REP-BTC,XLM-GBP,3,0.597962275361698
375,REP-BTC,XLM-GBP,4,0.582732229158352
376,REP-BTC,XLM-GBP,5,0.581775780669357
377,REP-BTC,XLM-GBP,6,0.5734802186761812
378,REP-BTC,SOL-BTC,1,0.8692041018747748
379,REP-BTC,SOL-BTC,2,0.8511282981232747
380,REP-BTC,SOL-BTC,3,0.6125891176708812
381,REP-BTC,SOL-BTC,4,0.5233160933103356
382,REP-BTC,SOL-BTC,5,0.5254326733024057
383,REP-BTC,SOL-BTC,6,0.5232163721130866
384,REP-BTC,SOL-ETH,1,0.8739820779228039
385,REP-BTC,SOL-ETH,2,0.8569545288229966
386,REP-BTC,SOL-ETH,3,0.625738142826279
387,REP-BTC,SOL-ETH,4,0.5332343449755981
388,REP-BTC,SOL-ETH,5,0.5349063693049722
389,REP-BTC,SOL-ETH,6,0.5220992614875964
390,REP-BTC,SOL-GBP,1,0.8014850181514421
391,REP-BTC,SOL-GBP,2,0.7865915503680475
392,REP-BTC,SOL-GBP,3,0.6630369805420903
393,REP-BTC,SOL-GBP,4,0.5920119520832914
394,REP-BTC,SOL-GBP,5,0.5975651645148108
395,REP-BTC,SOL-GBP,6,0.5996393550129413
396,REP-BTC,0,1,2.487427455734083
397,REP-BTC,0,2,2.2100630236863847
398,REP-BTC,0,3,1.5635686135433198
